# M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     (x=-1)    (x=1.35)    (x=3)
 1.0367429  3.6836  2.2295  1.9105 -0.498  0.252  0.847  0.500  0.984  1.621  2.145  2.255  2.338  2.928  3.0330E-01  1.2142E-01  5.6260E-02
 1.0368763  3.6800  2.2909  1.8348 -0.643  0.291  0.871  0.508  0.997  1.641  2.171  2.284  2.369  2.960  2.5460E-01  1.0189E-01  4.7201E-02
 1.0369975  3.6763  2.3518  1.7591 -0.783  0.332  0.895  0.517  1.011  1.664  2.202  2.316  2.404  2.998  2.2880E-01  9.1538E-02  4.2398E-02
 1.0371051  3.6725  2.4121  1.6836 -0.920  0.376  0.921  0.526  1.028  1.691  2.237  2.352  2.442  3.040  2.0570E-01  8.2276E-02  3.8101E-02
 1.0372032  3.6688  2.4726  1.6084 -1.056  0.422  0.947  0.535  1.044  1.720  2.274  2.391  2.483  3.083  1.8500E-01  7.3980E-02  3.4254E-02
 1.0372901  3.6649  2.5321  1.5333 -1.186  0.473  0.975  0.546  1.063  1.753  2.316  2.434  2.528  3.131  1.6470E-01  6.5849E-02  3.0485E-02
 1.0373679  3.6609  2.5915  1.4580 -1.313  0.527  1.005  0.558  1.083  1.788  2.362  2.481  2.578  3.184  1.4720E-01  5.8842E-02  2.7238E-02
 1.0374373  3.6570  2.6506  1.3833 -1.438  0.581  1.035  0.570  1.105  1.825  2.409  2.530  2.629  3.237  1.3290E-01  5.3117E-02  2.4585E-02
 1.0375008  3.6529  2.7093  1.3082 -1.558  0.636  1.067  0.585  1.131  1.865  2.460  2.582  2.684  3.297  1.1940E-01  4.7715E-02  2.2082E-02
 1.0375567  3.6488  2.7670  1.2341 -1.674  0.691  1.100  0.603  1.161  1.906  2.511  2.637  2.741  3.359  1.0720E-01  4.2834E-02  1.9822E-02
 1.0376080  3.6446  2.8245  1.1599 -1.785  0.749  1.134  0.624  1.197  1.951  2.566  2.697  2.803  3.428  9.7800E-02  3.9073E-02  1.8080E-02
 1.0376545  3.6404  2.8818  1.0858 -1.892  0.808  1.170  0.648  1.237  1.998  2.624  2.760  2.868  3.501  8.9000E-02  3.5554E-02  1.6450E-02
 1.0376970  3.6361  2.9388  1.0116 -1.994  0.869  1.206  0.673  1.280  2.048  2.685  2.827  2.938  3.579  8.0600E-02  3.2195E-02  1.4895E-02
 1.0377351  3.6318  2.9956  0.9376 -2.093  0.931  1.243  0.697  1.323  2.101  2.750  2.897  3.010  3.659  7.3200E-02  2.9237E-02  1.3526E-02
 1.0377702  3.6275  3.0521  0.8639 -2.190  0.992  1.280  0.720  1.364  2.157  2.818  2.969  3.085  3.741  6.8000E-02  2.7158E-02  1.2563E-02
 1.0378031  3.6231  3.1085  0.7899 -2.285  1.055  1.316  0.740  1.403  2.217  2.891  3.045  3.164  3.827  6.2400E-02  2.4919E-02  1.1527E-02
 1.0378326  3.6188  3.1652  0.7161 -2.378  1.118  1.352  0.758  1.440  2.279  2.966  3.123  3.244  3.914  6.2700E-02  2.5037E-02  1.1581E-02
 1.0378658  3.6146  3.2221  0.6424 -2.471  1.179  1.388  0.776  1.477  2.343  3.043  3.202  3.325  4.003  7.1800E-02  2.8669E-02  1.3260E-02
 1.0379044  3.6103  3.2791  0.5682 -2.558  1.242  1.424  0.795  1.517  2.412  3.125  3.287  3.413  4.099  3.8600E-02  1.5412E-02  7.1280E-03
